0,Pomidor yumurta omleti,https://acqalma.az/uploads/tmp/images/9c3389a4/bd0003f1/efe9c4c4/5a93f96c/151/201/r/tomato-with-eggs-01.jpg, 4.00 M ,Adana Lahmacun (Xətai)
1,Pendirli tost,https://acqalma.az/uploads/tmp/images/2c0211db/d0bd29df/414d3bc4/283c2cc6/151/201/r/peynirlitost.jpg, 3.00 M ,Adana Lahmacun (Xətai)
2,Sosiska yumurta,https://acqalma.az/uploads/tmp/images/d9f81b62/8641636d/233aea9b/b98c88a5/151/201/r/salamiomlet.jpg, 3.00 M ,Adana Lahmacun (Xətai)
3,Biznes Lanç,https://acqalma.az/uploads/tmp/images/b93d07ea/aee4ba7f/61115509/b854d019/151/201/r/copyspace_23-2148140281.jpg, 5.00 M ,Adana Lahmacun (Xətai)
4,Çoban salatı,https://acqalma.az/uploads/tmp/images/8359c25e/e2efd12c/c7e1cb17/8a6bad4e/151/201/r/cobansalati.jpg, 1.80 M ,Adana Lahmacun (Xətai)
5,Paytaxt salatı,https://acqalma.az/uploads/tmp/images/ca929ff8/ad9dc10a/16feb345/24e8e71f/151/201/r/paytaxtsalati.jpg, 2.00 M ,Adana Lahmacun (Xətai)
6,Toyuq salatı,https://acqalma.az/uploads/tmp/images/36452294/d4bc6e55/efd79c63/8165ca13/151/201/r/toyuqsalatiyagda.jpg, 2.00 M ,Adana Lahmacun (Xətai)
7,Badımcan salatı,https://acqalma.az/uploads/tmp/images/2a2b7a97/5c7f3658/f554e2dc/623da0ab/151/201/r/italyansalati.jpg, 2.00 M ,Adana Lahmacun (Xətai)
8,Mimoza salatı,https://acqalma.az/uploads/tmp/images/1c8a04b1/ff72263f/5d7650a3/48ea5336/151/201/r/mimoza.jpg, 2.50 M ,Adana Lahmacun (Xətai)
9,Şuba salatı,https://acqalma.az/uploads/tmp/images/cc835991/e10cb318/22e15792/7a555c3d/151/201/r/shubasalati.jpg, 2.50 M ,Adana Lahmacun (Xətai)
10,Göbələk salatı,https://acqalma.az/uploads/tmp/images/c2f8054c/2c30ddad/fce6b1c3/fcee9842/151/201/r/gobeleksalatiyagda.jpg, 2.00 M ,Adana Lahmacun (Xətai)
11,Adana salatı,https://acqalma.az/uploads/tmp/images/9cfade20/d78989f6/a632738b/5802c923/151/201/r/400.jpg, 2.50 M ,Adana Lahmacun (Xətai)
12,Sezar salatı,https://acqalma.az/uploads/tmp/images/c1caa539/a433b147/51942444/8efedc2c/151/201/r/pustra-zelena-salata-s-maslini-i-sirene-feta-1-2903.jpg, 6.00 M ,Adana Lahmacun (Xətai)
13,Haydari,https://acqalma.az/uploads/tmp/images/070b04b8/06327029/3e4d1bb6/e4225528/151/201/r/s-db916d761b8b4e11ad8ec4e4c2230482a02fb19c.jpg, 2.00 M ,Adana Lahmacun (Xətai)
14,Yunan salatı,https://acqalma.az/uploads/tmp/images/5a9d6de9/844d62d9/488433f6/9833ca75/151/201/r/salat3.jpg, 2.00 M ,Adana Lahmacun (Xətai)
15,Veneqret,https://acqalma.az/uploads/tmp/images/d3a326c0/d4850925/915fef02/1333612a/151/201/r/vinegretsalati.jpg, 2.00 M ,Adana Lahmacun (Xətai)
16,Acılı əzmə,https://acqalma.az/uploads/tmp/images/e01cbb39/3ad64e69/9df368db/b6357d9a/151/201/r/cugundursalati.jpg, 2.00 M ,Adana Lahmacun (Xətai)
17,Mərci şorbası,https://acqalma.az/uploads/tmp/images/c1e36e7f/a09c0320/c2cd161d/5cfcddf3/151/201/r/mercimek-corbasi-3.jpg, 2.00 M ,Adana Lahmacun (Xətai)
18,Göbələk şorbası,https://acqalma.az/uploads/tmp/images/23b396e5/a1163c4e/328ff28f/bce8532b/151/201/r/hqdefault.jpg, 2.50 M ,Adana Lahmacun (Xətai)
19,Fasulya şorbası,https://acqalma.az/uploads/tmp/images/e7bdb2ea/71a4dc3c/d0c7118f/6b4598b8/151/201/r/fasulye_corbasi-f67eeefd-92ca-4146-9180-4cf9b996f250.jpg, 2.50 M ,Adana Lahmacun (Xətai)
20,Toyuq şorbası,https://acqalma.az/uploads/tmp/images/f3a35141/3b093add/70fcbda2/62024f72/151/201/r/kuriniysup.jpg, 2.50 M ,Adana Lahmacun (Xətai)
21,Toyuq yeməkləri,https://acqalma.az/uploads/tmp/images/7170b890/d0695184/7e91254f/d4606741/151/201/r/fft99_mf7834938.Jpeg, 4.90 M ,Adana Lahmacun (Xətai)
22,Səbzəli yeməklər,https://acqalma.az/uploads/tmp/images/207d49a0/2e254190/b89a4838/2761412c/151/201/r/c5b66bb74b54b30cc0f1165c9d6d64a2.jpg, 4.90 M ,Adana Lahmacun (Xətai)
23,Ət yeməkləri,https://acqalma.az/uploads/tmp/images/fbf134cc/71e6e0cb/46418dff/670ac44b/151/201/r/298_odzhakhuri-iz-telyatiny.jpg, 4.90 M ,Adana Lahmacun (Xətai)
24,Qarabaşaq,https://acqalma.az/uploads/tmp/images/4fdce09a/7b591028/4d52f0e9/e288b9b6/151/201/r/152_0010109-cropf.jpg, 2.00 M ,Adana Lahmacun (Xətai)
25,Kartof Fri,https://acqalma.az/uploads/tmp/images/f584d980/bba99d1e/a3de3e46/51ec47e0/151/201/r/french-fries-recipe-1-1.jpg, 2.00 M ,Adana Lahmacun (Xətai)
26,Düyü,https://acqalma.az/uploads/tmp/images/4a90f764/21e6c172/a06282d2/8149a5c0/151/201/r/1289782803_rice430x300a.jpg, 2.00 M ,Adana Lahmacun (Xətai)
27,Bulqur,https://acqalma.az/uploads/tmp/images/8d1084aa/8dc1c71d/50cb1b80/993abb4e/151/201/r/vp_h.jpg, 2.00 M ,Adana Lahmacun (Xətai)
28,Adana kababı,https://acqalma.az/uploads/tmp/images/7f9eb109/5c46b468/fd87bfda/0c84339a/151/201/r/Adanakabab.jpg, 5.20 M ,Adana Lahmacun (Xətai)
29,Urfa kababı,https://acqalma.az/uploads/tmp/images/22c16dda/d4c18ff1/6c8050be/3eedbb22/151/201/r/Urfakabab.jpg, 4.90 M ,Adana Lahmacun (Xətai)
30,Quzu şiş,https://acqalma.az/uploads/tmp/images/ea3b9a7e/bcad110d/a1dafae1/c2319a66/151/201/r/quzushishi.jpg, 5.80 M ,Adana Lahmacun (Xətai)
31,Antrikot,https://acqalma.az/uploads/tmp/images/0907c3dc/29a2432d/cad31dbd/a2ce115d/151/201/r/antrikot.jpg, 7.00 M ,Adana Lahmacun (Xətai)
32,Dana basdırma,https://acqalma.az/uploads/tmp/images/f66d60e7/cc614fdf/178c3caa/4b489ec9/151/201/r/Dana_basdirmasi.jpg, 6.00 M ,Adana Lahmacun (Xətai)
33,Dana şiş,https://acqalma.az/uploads/tmp/images/6fb25096/56e82fb1/67f47c31/f5a76142/151/201/r/685982.jpg, 5.70 M ,Adana Lahmacun (Xətai)
34,Toyuq şiş kabab,https://acqalma.az/uploads/tmp/images/53882653/7d171b73/1809515f/fcb6167d/151/201/r/Toyuqshish.jpg, 5.50 M ,Adana Lahmacun (Xətai)
35,Qanad kababı,https://acqalma.az/uploads/tmp/images/85267de7/68fb8112/171785b7/27d97171/151/201/r/qanadkababi.jpg, 4.00 M ,Adana Lahmacun (Xətai)
36,Qarışıq kabab,https://acqalma.az/uploads/tmp/images/fb09efda/269b9847/e38c029f/e6474bcb/151/201/r/ls.jpg, 7.00 M ,Adana Lahmacun (Xətai)
37,Alinazik kababı,https://acqalma.az/uploads/tmp/images/11cb935c/405630e2/33fbdd8e/581538da/151/201/r/Alinazikkabab.jpg, 6.50 M ,Adana Lahmacun (Xətai)
38,Pomidorlu kabab,https://acqalma.az/uploads/tmp/images/94189e2b/31c1ac9d/cccbb22c/7a200d03/151/201/r/DOMATESL-KEBAP-surmeli-kebap-kilisli-murat-usta-600x511.jpg, 4.90 M ,Adana Lahmacun (Xətai)
39,Fırın Beyti,https://acqalma.az/uploads/images/empty_dish_image.png, 8.00 M ,Adana Lahmacun (Xətai)
40,Kartof lülə kababı,https://acqalma.az/uploads/tmp/images/a7fd4aaf/de656f38/0f1dd26d/7b0afcdf/151/201/r/kartoflulekebab.jpg, 3.00 M ,Adana Lahmacun (Xətai)
41,Adana dürüm (manqalda),https://acqalma.az/uploads/tmp/images/28fd8493/da64d698/c2d3fe1c/2e0bdee9/151/201/r/quzudurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
42,Urfa dürüm (manqalda),https://acqalma.az/uploads/tmp/images/7353ad41/d74f5a8e/d5621279/01a53bb3/151/201/r/Urfadurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
43,Quzu dürüm (manqalda),https://acqalma.az/uploads/tmp/images/7a2abc18/680c642d/fa234c2a/04797997/151/201/r/quzudurum.jpg, 4.00 M ,Adana Lahmacun (Xətai)
44,Dana dürüm (manqalda),https://acqalma.az/uploads/tmp/images/89d0bfc3/20137f0d/80581638/7a9d18ee/151/201/r/DanaDurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
45,Toyuq dürüm (manqalda),https://acqalma.az/uploads/tmp/images/981dd7e9/1aae1021/0c955e74/5289bbe5/151/201/r/Toyuqdurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
46,Ciyər dürüm (manqalda),https://acqalma.az/uploads/tmp/images/16c1889e/5f63930e/a736051a/ade8ca81/151/201/r/CiyerDurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
47,Qarışıq dürüm (manqalda),https://acqalma.az/uploads/tmp/images/059d7165/ab6ac3ee/34451bd6/3b92667f/151/201/r/qarisiqdurum.jpg, 5.00 M ,Adana Lahmacun (Xətai)
48,Toyuq dönəri,https://acqalma.az/uploads/tmp/images/c0add833/b70ff4b4/13e47b51/2e9c961a/151/201/r/toyuqdoner.jpg, 2.00 M ,Adana Lahmacun (Xətai)
49,Ət dönəri,https://acqalma.az/uploads/tmp/images/6b840605/4bd5cae0/1c6d7d66/9c264b0d/151/201/r/17498410_836519399829379_8591076674865061439_n-684x463.jpg, 2.20 M ,Adana Lahmacun (Xətai)
50,Şaurma,https://acqalma.az/uploads/tmp/images/2f56c402/40834c30/a87e8317/0db3b1f9/151/201/r/dokumenty-dlya-shaurmy.jpg, 2.40 M ,Adana Lahmacun (Xətai)
51,Tombik,https://acqalma.az/uploads/tmp/images/52e59a4d/d4ed45c9/b276fe9c/4ee601b2/151/201/r/TombikDoner1.jpg, 2.40 M ,Adana Lahmacun (Xətai)
52,Porsion dönər,https://acqalma.az/uploads/tmp/images/2e9263f4/54ac83d7/bfab32da/8b0b14e0/151/201/r/porsiyondoner.jpg, 5.50 M ,Adana Lahmacun (Xətai)
53,Sarma İskəndər,https://acqalma.az/uploads/tmp/images/4818d905/f34791ea/388cef08/e49750c9/151/201/r/saramiskende.gif, 9.00 M ,Adana Lahmacun (Xətai)
54,Dönər Adana,https://acqalma.az/uploads/tmp/images/6b0cdb94/56704c65/4ecda6ed/1f78ebde/151/201/r/doner25.jpg, 6.50 M ,Adana Lahmacun (Xətai)
55,Iskəndər dönər,https://acqalma.az/uploads/tmp/images/e11db9c8/fd2f4db7/a2be27a0/c9e6cc82/151/201/r/Iskenderdoner.jpg, 7.00 M ,Adana Lahmacun (Xətai)
56,Plovüstü dönər,https://acqalma.az/uploads/tmp/images/bc5e5ce5/566ece3d/16879a1c/629a87ff/151/201/r/plovustudoner.JPG, 5.50 M ,Adana Lahmacun (Xətai)
57,Pendirli Pide,https://acqalma.az/uploads/tmp/images/11ba87f6/1489314a/621c6098/c3917a2b/151/201/r/PidePendirli.jpeg, 5.50 M ,Adana Lahmacun (Xətai)
