,rest,food_type,name,desc,price,img
0,BİR-İKİ Döner,KLASSIK 🌯,Çıtır Dürüm Dana Əti ilə,"Lavaş, dana əti, pomidor, fri kartofu, mayonez, sous, lavaş üçün (üstü) sous","4,40₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d3f15ad36ed2332c75f5d79/4b8c0f98-4445-11eb-bd93-6a0bcea22ff2_0a5a9549.jpeg
1,BİR-İKİ Döner,XÜSUSİ ✨,3 Lavaş,"Dönər, şaurma və falafel (ət və ya toyuq)","4,80₼",https://wolt-menu-images-cdn.wolt.com/menu-images/1ce66de2-b485-11e9-b0c5-0a58646543a8_3_lavash.jpeg
2,BİR-İKİ Döner,ƏLAVƏ 🍟,Kənd Kartofu,,"3,70₼",https://wolt-menu-images-cdn.wolt.com/menu-images/2dbb2234-b485-11e9-bc45-0a586466080d_potato_wedges.jpeg
3,BİR-İKİ Döner,İÇKİLƏR 🥤,Sandora Alma® 250 ml,,"2,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/2f5b1070-b748-11e9-9d9d-0a5864601048_Sandora_Apple_250ml.jpeg
4,Vapiano Uzeyir Hajibeyov,Wolt Specials,Baltika Menu 🥤,Pizza Diavolo (donuz əti ilə) və salat Mista Della Casa yeni qiymətə və 2 Baltika 0 Greypfrut hədiyyə!,"20,90₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d0907602e474b3abb39723a/1cc9f26c-92aa-11ea-bdbf-0a58646fc605_whatsapp_image_2020_05_07_at_13.13.08.jpeg
5,Vapiano Uzeyir Hajibeyov,PİZZA,Pizza BBQ Supreme,"Barbekyu toyuğu, brusketta, qırmızı soğan, tomat sousu, mozarella","13,20₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5ba89bc4-9bf6-11e9-9e5c-0a586460d7e1_Pizza_BBQ_Supreme_01_SMALL.jpeg
6,Vapiano Uzeyir Hajibeyov,PASTA,Pasta Gamberetti E Spinaci,"Qızardılmış krevetlər, qaymaq sousu, reyhan pestosu, şam ağacı tumları, Grana Padano D.O.P., ispanaq, çerri pomidorları, soğan","14,90₼",https://wolt-menu-images-cdn.wolt.com/menu-images/4c9f0bb2-9bf2-11e9-895c-0a58646018d3_Core_Pasta_Gamberetti_E_Spinachi_With_Linguine_SMALL.jpeg
7,Vapiano Uzeyir Hajibeyov,RAVIOLI,Ravioli Con Ricotta E Rucola,Rukkola və rikotta pendiri ilə doldurulmuş ravioli,"12,90₼",https://wolt-menu-images-cdn.wolt.com/menu-images/bb829788-9bf2-11e9-9f7f-0a586460bb06_Core_Pasta_Ravioli_Con_Ricotta_E_Rucola_SMALL.jpeg
8,Vapiano Uzeyir Hajibeyov,LAZANYA,Al Forno,"Bolonez sousu, beşamel sousu, Grana Padano D.O.P. və mozarella pendiri","13,80₼",https://wolt-menu-images-cdn.wolt.com/menu-images/fd0150ca-419a-11ea-9eef-0a586474620b_Lasagne_-_Al_Forno_02_-_Low_Res.jpeg
9,Vapiano Uzeyir Hajibeyov,RİZOTTO,Pollo Con Gorgonzola,"Toyuq filesi, soğan, qaymaq, gorgonzola, rəngli bibər, yaşıl sogan, parmezan","13,80₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d0907602e474b3abb39723a/f5989d0a-0a23-11eb-82ca-263bd76ac74f_risotto___pollo_con_gorgonzola___low_res__1_.jpeg
10,Vapiano Uzeyir Hajibeyov,ANTIPASTI,Sarımsaqlı Çörək,,"4,20₼",https://wolt-menu-images-cdn.wolt.com/menu-images/404b5182-41a0-11ea-ba39-0a586474620b_Pizza_-_Pizzabread_With_Garlic_Oil.jpeg
11,Vapiano Uzeyir Hajibeyov,ŞORBALAR,Tomat Şorbası,Təzə pomidorlardan hazırlanmış klassik tomat şorbası,"5,30₼",https://wolt-menu-images-cdn.wolt.com/menu-images/91ecaa3a-9bf2-11e9-b388-0a586461a918_Tomato_Soup_SMALL.jpeg
12,Vapiano Uzeyir Hajibeyov,SALAT,Salat Burrata,"Burrata, çerri pomidorları, aruqula","10,70₼",https://wolt-menu-images-cdn.wolt.com/menu-images/fcc6d08e-419b-11ea-9178-0a586474620b_Insalata_-_Burrata.jpeg
13,Vapiano Uzeyir Hajibeyov,SOUSLAR,Sezar Sousu,,"1,10₼",
14,Vapiano Uzeyir Hajibeyov,DESERT,Pasticcini,İtalyan Qurabiyəsi,"1,60₼",https://wolt-menu-images-cdn.wolt.com/menu-images/4973517c-9b49-11e9-9076-0a5864601a7d_Dolci_Pasticceria_03_SMALL.jpeg
15,Vapiano Uzeyir Hajibeyov,İÇKİLƏR,Tomat Şirəsi,,"3,20₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d0907602e474b3abb39723a/5a052f06-0a24-11eb-9c00-c6d974268644_bar_orange_juice___low_res.jpeg
16,Vapiano Uzeyir Hajibeyov,SPİRTLİ İÇKİLƏR,Hillside Reserve,,"46,40₼",https://wolt-menu-images-cdn.wolt.com/menu-images/1f6e0446-11ee-11ea-ab6f-0a586468da0d_Untitled2.jpeg
17,Meatadore,BURGERLƏR,Cubana Chicken Burger,"140 gr toyuq, coleslaw salatı, sacaqlı kartof, kahi
","10,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/ababf354-1b4a-11ea-86ae-0a586466e97e_Queen_-_chicken_-_classic_-_mushroom_burger_-_chicken_rokfor.jpeg
18,Meatadore,CHEESESTEAK,Mushroom Cheesesteak,"Təzə baget çörəyi, közdə hazırlanmış antrikot, közdə qızardılmış göbələk, karamelize soğan, cheez whiz (əridilmiş cheddar pendiri), acılı sous, kartof fri","14,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/a13eef48-1bd1-11ea-8cb8-0a586468f492_mushroom_cheesesteak.jpeg
