,title,desc,exp,rating,cuisine_tags,img,url,location,adress,post,more_desc,phone,social_url
0,BİR-İKİ Döner,Bakı şəhərinə dönərism konsepsiyasını yayan məkan,$,9.2,"dönər, şaurma, roll",https://prod-wolt-venue-images-cdn.wolt.com/5d3f0e585ed88fbd2c11342c/49adf2c6267a3d3792003237ec5d6728,https://wolt.com/az/aze/baku/restaurant/biriki-doner,"https://maps.google.com/?q=40.37140467126463,49.83856558799744",Yusif Mammadaliyev 27A,AZ1000 Baku,"BİR-İKİ döner shop - Bakı şəhərinə dönərism konsepsiyasını yayan məkan. İnanın, Bakı hələ belə DOBRİY dönər görməyib. Ənənəvi dönərlə yanaşı Əfsanəvi Bakı 1996 dönərinin, porsion dönərin və plovüstü dönərin dadına baxa biləcəyiniz məkan.",+994124989149,https://www.facebook.com/BIRIKIDONER
1,MADO Fountain Square, ,$$,9.0,"səhər yeməyi, desert, dondurma",https://prod-wolt-venue-images-cdn.wolt.com/5ec38fbe4833665373b42a68/042bac98-99a6-11ea-89c6-0a58647f8de2_img_1712.jpg,https://wolt.com/az/aze/baku/restaurant/mado-fountain-square,"https://maps.google.com/?q=40.37252723332921,49.84043136687561",Mardanov Qardashlari 3,AZ1000 Baku,MADO Restaurant aims to distribute good quality food and ice cream around the world and popularize it on global scale.,+994513300110,https://mado.az/
2,Lokmazza,Yeni nəsil türk lokması,$$,9.0,"desert, şirniyyatlar, şokolad",https://prod-wolt-venue-images-cdn.wolt.com/5f0701a6da72a955ed78caf3/96671c28-d899-11ea-9468-3e1942f97e2b_img_20200720_080548_880.jpg,https://wolt.com/az/aze/baku/restaurant/lokmazza,"https://maps.google.com/?q=40.36997399394026,49.83985842356475",Abdulkarim Ali-zadeh street 17d,AZ1000 Baku,Yeni nəsil türk lokması,+994502575324,https://www.instagram.com/lokmazza/
3,Vapiano Uzeyir Hajibeyov,Italian Cuisine,$$,8.8,"pasta, pizza, salat",https://prod-wolt-venue-images-cdn.wolt.com/5d08f6ef34d95657b705d546/b3e262f325480db01135fbcec3700cf9-edits/3aab41f9ae1b3e33f8a2b242f9120947,https://wolt.com/az/aze/baku/restaurant/vapiano-uzeyir-hajibayli,"https://maps.google.com/?q=40.371016410416594,49.84093129634857","Uzeyir Hajibeyov 6/8, Sabail distr.",AZ1000 Baku,People who meet in our relaxed setting share one important quality: the love of enjoying life and sharing on companionship,+994125988118,https://www.vapiano.com/en/home/
4,Shaurma №1 Nizami Küç. ,1998-ci ildən,$$,9.2,"lahmacun, mucha pizza, pide",https://prod-wolt-venue-images-cdn.wolt.com/5e6b61032184a4176e154156/f0f314e2-5fbe-11eb-98d5-66ff70be21c9_shaurma_1_group__1_.jpg,https://wolt.com/az/aze/baku/restaurant/shaurma-1-nizami-str,"https://maps.google.com/?q=40.37303592011353,49.84041420888251",Nizami Street 81,AZ1000 Baku,Azərbaycanın ilk “fast-food” brendi,+994552527605,https://www.facebook.com/pg/shaurma.az/about/?ref=page_internal
5,Namlı Kebap,Türk mətbəxinin ən ləzzətli unvanı,$$$,8.8,"türk, kəbab, dönər",https://prod-wolt-venue-images-cdn.wolt.com/5f310654a746da64bcbffa34/3feeeb5a-db1e-11ea-84a0-6ec5193e6132_img_7501.jpg,https://wolt.com/az/aze/baku/restaurant/namli,"https://maps.google.com/?q=40.3726589894877,49.840339569820536",3 Mardanov brothers str.,AZ1000 Baku,Türk mətbəxinin ən ləzzətli unvanı,+994502064644,http://www.namlikebapbaku.az/
6,PakDad Nizami ,Ətin ən ləzzətli halı,$$,9.0,"kəbab, dönər, lahmacun",https://prod-wolt-venue-images-cdn.wolt.com/5db611efd05f9c07b89b32c9/ce64f5a566ffc475dded13b2875a7c33-edits/1feee4dc411353b5cc76699de125df25,https://wolt.com/az/aze/baku/restaurant/pakdad-nizami,"https://maps.google.com/?q=40.37323151070397,49.84020709991455","87 Nizami St, Baku 1000",AZ1000 Baku,"Hər şüfrədə dad, o da PakDad",+994512355231,https://pakdad.az
7,Central Baku,İncəlikləri ilə seçilən kafe və şiriniyyat evi,$$$,9.0,"desert, desertlər, balıq",https://prod-wolt-venue-images-cdn.wolt.com/5d400f71c28227d07e1bcd32/01478692-bc24-11e9-9e9b-0a586465596d_Group.jpg,https://wolt.com/az/aze/baku/restaurant/central-baku,"https://maps.google.com/?q=40.37253536185212,49.83862102020794",75 Nizami str.,AZ1000 Baku,"Central Baku - tarixi olan Nizami kuçəsində yerləşən, incəlikləri ilə seçilən yeməklər, şirniyyat və şokolad məhsulları təklif edən bir məkandır.",+994505024555,https://www.facebook.com/centralbakuaz/
8,Tavuk Pilav,🍛❤️,$,8.4,"Eastern cuisine, acılı, türk",https://prod-wolt-venue-images-cdn.wolt.com/5fbcf97503fd352e5df1a6e4/3bcfe67c-2f0c-11eb-a7ac-5691956cc893_img_7379.jpg,https://wolt.com/az/aze/baku/restaurant/tavuk-pilav,"https://maps.google.com/?q=40.370644739605865,49.83852461534219",Haci Zeynalabdin Tagiyev street 16,AZ1005 Baku,🍛❤️,+994503021206,https://www.instagram.com/pilov_plove/
9,Yoshi Sushi,"Sushi, əriştə və daha çox!",$$$,8.8,"suşi, sup, salat",https://prod-wolt-venue-images-cdn.wolt.com/5d1249adda5aa4385a6c2aee/ba37628b0b201e84792078595d389f1a-edits/7f99a26f153609bfa664db73b3023aa4,https://wolt.com/az/aze/baku/restaurant/yoshisushi-hztaghiyev,"https://maps.google.com/?q=40.3709700701845,49.8382401465278",24B Haji Zeynalabdin Taghiyev str.,AZ1005 Baku,"Təcrübəli ustalarımız tərəfindən hazırlanan yüksək keyfiyyətli və ləzzətli suşiləri, salatları və qəlyanaltıları sizlərə təqdim edirik!",+994125555033,http://yoshisushi.az/
